SensorType,Px_pred,Py_pred,Vx_pred,Vy_pred,Px_meas,Py_meas,Px_gt,Py_gt,Vx_gt,Vy_gt,NIS
R,-1.02426,11.2425,-1.84842,-4.6582,-0.891441,10.959,-1.1085,11.2057,-2.12017,-4.71549,2.81838
L,-1.20195,11.0144,-1.996,-4.65803,-1.39289,11.0424,-1.21362,10.9695,-2.08575,-4.73364,2.39547
R,-1.28273,10.7684,-1.89451,-4.75112,-1.29894,10.9012,-1.31706,10.7324,-2.05273,-4.75075,1.29617
L,-1.41353,10.5136,-1.9297,-4.79077,-1.49687,10.4198,-1.41889,10.4945,-2.02111,-4.76686,0.908822
R,-1.50303,10.2504,-1.85286,-4.88392,-1.59293,10.0212,-1.51917,10.2559,-1.99093,-4.78198,1.3578
L,-1.5999,10.0408,-1.82152,-4.8527,-1.61875,10.2374,-1.61797,10.0165,-1.96221,-4.79615,2.04051
R,-1.68788,9.81179,-1.77892,-4.82973,-1.59702,9.96554,-1.71539,9.77637,-1.93498,-4.80939,0.547199
L,-1.7616,9.59242,-1.7043,-4.81462,-1.73381,9.71347,-1.81147,9.53564,-1.90924,-4.82172,0.822358
R,-1.87351,9.33941,-1.70649,-4.88441,-2.27191,9.37316,-1.90631,9.29431,-1.88502,-4.83316,2.54498
L,-1.95698,9.04593,-1.64935,-4.97103,-1.93833,8.77028,-1.99998,9.05243,-1.86233,-4.84374,3.99553
R,-2.04172,8.82427,-1.62925,-4.90861,-1.96565,9.13274,-2.09256,8.81003,-1.8412,-4.85347,1.89004
L,-2.13844,8.57201,-1.62148,-4.9336,-2.1768,8.5411,-2.18412,8.56717,-1.82164,-4.86238,0.145029
R,-2.26828,8.31691,-1.69588,-4.95587,-2.65862,8.19477,-2.27474,8.32388,-1.80365,-4.87047,2.82108
L,-2.31323,8.08499,-1.571,-4.94369,-2.21875,8.15339,-2.3645,8.0802,-1.78726,-4.87778,0.816547
R,-2.37421,7.8738,-1.50394,-4.88836,-2.273,8.52315,-2.45348,7.83617,-1.77248,-4.8843,5.50888
L,-2.48908,7.62166,-1.55548,-4.91551,-2.59674,7.60288,-2.54177,7.59184,-1.75931,-4.89006,0.731624
R,-2.65155,7.38682,-1.75287,-4.84626,-3.08256,7.38874,-2.62944,7.34723,-1.74777,-4.89507,5.70923
L,-2.75643,7.13036,-1.77501,-4.87342,-2.79865,7.064,-2.71658,7.10238,-1.73786,-4.89933,0.350136
R,-2.81725,6.89656,-1.67764,-4.89107,-2.79412,7.20818,-2.80326,6.85734,-1.72958,-4.90286,1.6451
L,-2.85677,6.69113,-1.5592,-4.8362,-2.74651,6.86867,-2.88957,6.61214,-1.72295,-4.90566,2.4642
R,-2.9182,6.4716,-1.53658,-4.75236,-2.57673,6.36755,-2.97559,6.36681,-1.71797,-4.90774,3.92726
L,-2.97296,6.23606,-1.46917,-4.75207,-2.90217,6.22989,-3.0614,6.12139,-1.71464,-4.90911,0.291916
R,-3.09221,5.98747,-1.54127,-4.79279,-3.50172,6.10796,-3.14709,5.87592,-1.71297,-4.90976,3.54726
L,-3.17719,5.71177,-1.53992,-4.85438,-3.1778,5.53101,-3.23274,5.63043,-1.71295,-4.9097,1.74283
R,-3.28687,5.46465,-1.63618,-4.82282,-3.19736,5.19093,-3.31843,5.38496,-1.71458,-4.90893,2.31477
L,-3.38504,5.202,-1.66425,-4.86132,-3.43031,5.10507,-3.40424,5.13955,-1.71787,-4.90745,0.635261
R,-3.45273,4.9564,-1.60448,-4.88356,-3.4281,4.94644,-3.49026,4.89422,-1.72281,-4.90525,0.212998
L,-3.56989,4.67561,-1.6735,-4.9526,-3.69435,4.52196,-3.57657,4.64902,-1.72939,-4.90233,2.19425
R,-3.68022,4.4222,-1.77324,-4.92573,-3.50501,4.17643,-3.66325,4.40398,-1.73763,-4.89868,2.2482
L,-3.81541,4.14849,-1.87518,-4.97817,-4.00238,4.04684,-3.75039,4.15913,-1.74749,-4.8943,2.52412
R,-3.89505,3.90846,-1.81633,-4.98331,-4.06447,4.10977,-3.83806,3.91452,-1.75899,-4.88918,1.20622
L,-3.96601,3.67751,-1.77449,-4.9486,-3.88053,3.75177,-3.92635,3.67019,-1.77212,-4.8833,0.704748
R,-4.06621,3.47369,-1.8356,-4.85143,-4.23729,3.88878,-4.01533,3.42616,-1.78686,-4.87666,4.20437
L,-4.15713,3.22933,-1.83951,-4.85238,-4.15119,3.21968,-4.10509,3.18248,-1.8032,-4.86925,0.00682527
R,-4.27393,2.97342,-1.9279,-4.8604,-4.27467,2.88187,-4.19571,2.93919,-1.82113,-4.86104,0.791203
L,-4.36446,2.69845,-1.92742,-4.91167,-4.32451,2.55034,-4.28727,2.69633,-1.84065,-4.85202,1.26888
R,-4.45099,2.4492,-1.9015,-4.91972,-4.38481,2.39989,-4.37985,2.45393,-1.86173,-4.84218,0.180477
L,-4.55627,2.18321,-1.92533,-4.95744,-4.61223,2.09192,-4.47352,2.21205,-1.88436,-4.83149,0.616678
R,-4.66596,1.95171,-2.03942,-4.89694,-4.29257,1.92854,-4.56836,1.97072,-1.90853,-4.81994,4.09077
L,-4.78234,1.67634,-2.08007,-4.95175,-4.86829,1.53442,-4.66444,1.72998,-1.93422,-4.80751,1.47152
R,-4.90639,1.42599,-2.17307,-4.94245,-4.98165,1.43611,-4.76186,1.48989,-1.9614,-4.79417,0.526466
L,-4.96462,1.19486,-2.11129,-4.89025,-4.66779,1.28643,-4.86066,1.25049,-1.99007,-4.7799,5.02443
R,-5.05934,0.980179,-2.10223,-4.8229,-4.98594,1.10894,-4.96095,1.01182,-2.02019,-4.76468,1.15584
L,-5.11946,0.750317,-2.04986,-4.78265,-4.85498,0.825661,-5.06277,0.77393,-2.05174,-4.74848,3.9315
R,-5.21447,0.452918,-2.06272,-4.89005,-4.84736,0.18101,-5.16621,0.536876,-2.08471,-4.73127,5.22061
L,-5.289,0.21389,-2.0334,-4.86734,-5.1231,0.257311,-5.27133,0.300706,-2.11906,-4.71303,1.5304
R,-5.39845,-0.0191032,-2.01366,-4.84305,-5.99809,-0.290765,-5.3782,0.0654719,-2.15477,-4.69374,5.83723
L,-5.46926,-0.256033,-1.97698,-4.82459,-5.29972,-0.212982,-5.4869,-0.168772,-2.1918,-4.67335,1.59535
R,-5.58912,-0.435934,-2.06471,-4.6982,-5.64447,-0.144522,-5.59748,-0.401971,-2.23014,-4.65185,3.79907
L,-5.72491,-0.618704,-2.15577,-4.58589,-5.85359,-0.445801,-5.71001,-0.634069,-2.26974,-4.62919,2.64743
R,-5.83995,-0.848638,-2.26883,-4.58335,-5.30947,-0.724468,-5.82456,-0.865006,-2.31058,-4.60536,5.51622
L,-5.93571,-1.11934,-2.25211,-4.65448,-5.87835,-1.26863,-5.94118,-1.09472,-2.35262,-4.58032,1.46249
R,-6.02477,-1.38913,-2.22446,-4.72032,-5.68069,-1.52871,-6.05993,-1.32316,-2.39581,-4.55404,2.79427
L,-6.16314,-1.59594,-2.30807,-4.64774,-6.27263,-1.50938,-6.18087,-1.55025,-2.44014,-4.52648,1.10685
R,-6.30661,-1.83606,-2.48108,-4.6642,-6.11355,-1.75966,-6.30406,-1.77593,-2.48555,-4.49762,4.07493
L,-6.41312,-2.08667,-2.4784,-4.68455,-6.34007,-2.13685,-6.42954,-2.00014,-2.532,-4.46742,0.448767
R,-6.56409,-2.28898,-2.56381,-4.59177,-6.99344,-2.17445,-6.55738,-2.22281,-2.57946,-4.43585,3.15067
L,-6.71374,-2.49781,-2.64859,-4.52295,-6.79288,-2.4458,-6.68761,-2.44386,-2.62788,-4.40288,0.517813
R,-6.86942,-2.71102,-2.74734,-4.46949,-7.14408,-2.67584,-6.82029,-2.66323,-2.6772,-4.36847,1.14924
L,-6.96221,-2.98111,-2.68784,-4.5532,-6.8003,-3.10086,-6.95546,-2.88084,-2.7274,-4.3326,2.38229
R,-7.0909,-3.20451,-2.69069,-4.51711,-7.13937,-3.22028,-7.09316,-3.09663,-2.7784,-4.29523,0.283718
L,-7.2157,-3.39765,-2.72501,-4.43476,-7.12118,-3.26434,-7.23344,-3.3105,-2.83017,-4.25632,1.42023
R,-7.3618,-3.64701,-2.75932,-4.46469,-7.77186,-4.08999,-7.37632,-3.5224,-2.88265,-4.21586,4.43095
L,-7.52074,-3.78211,-2.87447,-4.26055,-7.49009,-3.49081,-7.52184,-3.73223,-2.93579,-4.1738,4.91706
R,-7.66552,-3.99131,-2.93421,-4.23238,-7.52393,-3.88213,-7.67004,-3.93992,-2.98953,-4.13012,0.475255
L,-7.82001,-4.22046,-2.98101,-4.23583,-7.88049,-4.29783,-7.82094,-4.14538,-3.04381,-4.08479,0.510776
R,-7.97112,-4.43897,-3.01723,-4.21837,-8.08524,-4.57834,-7.97457,-4.34854,-3.09857,-4.03778,0.391095
L,-8.13279,-4.67806,-3.0619,-4.24186,-8.22492,-4.79812,-8.13095,-4.5493,-3.15376,-3.98906,1.21436
R,-8.2723,-4.87918,-3.01448,-4.16729,-8.453,-4.95621,-8.2901,-4.74759,-3.2093,-3.93862,2.47441
L,-8.40464,-5.09766,-3.00989,-4.17104,-8.33552,-5.1059,-8.45204,-4.94331,-3.26514,-3.88641,0.277655
R,-8.55149,-5.26189,-3.00962,-4.04014,-8.55062,-4.79248,-8.61678,-5.13637,-3.32121,-3.83242,3.795
L,-8.74156,-5.46085,-3.11254,-3.99417,-8.91477,-5.51752,-8.78433,-5.32669,-3.37745,-3.77663,1.77132
R,-8.90115,-5.65695,-3.14368,-3.95326,-9.04115,-5.69364,-8.95469,-5.51417,-3.43377,-3.71901,0.299562
L,-9.05768,-5.8429,-3.18127,-3.90487,-9.03391,-5.80267,-9.12788,-5.69872,-3.49012,-3.65955,0.117685
R,-9.19695,-5.99663,-3.1574,-3.78374,-8.86897,-5.41973,-9.30388,-5.88026,-3.54643,-3.59823,5.94805
L,-9.37398,-6.09782,-3.25699,-3.57896,-9.30811,-5.82368,-9.4827,-6.05868,-3.60261,-3.53503,4.53946
R,-9.55022,-6.28013,-3.32019,-3.54603,-9.80646,-6.41174,-9.66432,-6.23389,-3.6586,-3.46994,0.962852
L,-9.6897,-6.4897,-3.30009,-3.58616,-9.62547,-6.55958,-9.84874,-6.4058,-3.71431,-3.40295,0.581822
R,-9.91217,-6.65108,-3.48445,-3.51378,-10.6688,-6.35543,-10.0359,-6.57431,-3.76969,-3.33404,7.12727
L,-10.1152,-6.81645,-3.57895,-3.43782,-10.2246,-6.83402,-10.2259,-6.73933,-3.82463,-3.26321,0.675114
R,-10.3005,-6.97843,-3.65585,-3.38477,-10.2205,-6.71044,-10.4186,-6.90075,-3.87907,-3.19046,1.00276
L,-10.5302,-7.16065,-3.77605,-3.33704,-10.7616,-7.29159,-10.614,-7.05849,-3.93293,-3.11577,3.70094
R,-10.736,-7.30254,-3.86921,-3.23427,-10.8944,-6.83335,-10.8121,-7.21245,-3.98613,-3.03916,1.86133
L,-10.9827,-7.46561,-4.00646,-3.14915,-11.2219,-7.56979,-11.0128,-7.36252,-4.03859,-2.96062,3.59775
R,-11.1711,-7.60474,-4.01737,-3.04733,-10.986,-7.3707,-11.2161,-7.50862,-4.09021,-2.88015,1.26506
L,-11.3204,-7.75931,-3.97274,-3.02525,-11.0934,-7.6776,-11.422,-7.65064,-4.14093,-2.79777,3.10032
R,-11.5157,-7.88565,-4.00726,-2.91572,-11.4213,-7.46085,-11.6304,-7.78849,-4.19066,-2.71349,1.77208
L,-11.6954,-7.98988,-4.02666,-2.78764,-11.5269,-7.8215,-11.8413,-7.92208,-4.23932,-2.6273,2.97978
R,-11.8877,-8.10218,-4.01335,-2.64676,-11.9422,-7.88317,-12.0546,-8.05131,-4.28682,-2.53924,1.67549
L,-12.1022,-8.19289,-4.08682,-2.49468,-12.09,-8.08828,-12.2702,-8.17609,-4.33309,-2.44932,0.670865
R,-12.3298,-8.32223,-4.22531,-2.46702,-12.4462,-8.02117,-12.4881,-8.29633,-4.37802,-2.35756,2.79559
L,-12.5334,-8.40321,-4.263,-2.31628,-12.4231,-8.2599,-12.7082,-8.41193,-4.42156,-2.26399,1.75176
R,-12.7379,-8.48945,-4.2541,-2.1591,-12.7461,-8.19449,-12.9304,-8.5228,-4.4636,-2.16863,1.63521
L,-13.0167,-8.57943,-4.40176,-2.00467,-13.2911,-8.64594,-13.1547,-8.62886,-4.50407,-2.07151,4.29501
R,-13.2665,-8.68046,-4.51712,-1.92563,-13.7929,-8.47158,-13.381,-8.73002,-4.54289,-1.97267,2.81326
L,-13.4882,-8.72752,-4.55466,-1.73785,-13.384,-8.57583,-13.6092,-8.82619,-4.57997,-1.87214,1.84182
R,-13.7021,-8.76915,-4.52068,-1.52039,-13.6376,-8.26343,-13.8392,-8.91729,-4.61524,-1.76997,3.67625
L,-13.9292,-8.87968,-4.55106,-1.49535,-13.9959,-8.99264,-14.0709,-9.00324,-4.64861,-1.6662,0.953846
R,-14.1828,-8.97081,-4.68042,-1.46697,-14.4737,-8.79552,-14.3043,-9.08395,-4.68001,-1.56086,2.94715
L,-14.4068,-9.08297,-4.68683,-1.46456,-14.4273,-9.1875,-14.5391,-9.15936,-4.70936,-1.45402,0.68743
R,-14.6356,-9.15393,-4.68979,-1.36367,-14.5757,-9.32634,-14.7754,-9.22939,-4.73658,-1.34573,0.289096
L,-14.9228,-9.15179,-4.80527,-1.09165,-15.062,-9.04396,-15.013,-9.29397,-4.76161,-1.23603,2.02791
R,-15.1822,-9.22458,-4.85905,-1.02304,-15.6189,-9.69365,-15.2517,-9.35302,-4.78436,-1.125,4.52952
L,-15.4479,-9.3404,-4.90593,-1.05452,-15.6682,-9.56749,-15.4916,-9.40649,-4.80476,-1.01269,5.35215
R,-15.6896,-9.37008,-4.87188,-0.873483,-15.9382,-9.35751,-15.7324,-9.45431,-4.82275,-0.899159,2.1018
L,-15.9472,-9.45487,-4.90534,-0.85916,-16.0862,-9.59819,-15.9741,-9.49642,-4.83827,-0.784484,2.13815
R,-16.1977,-9.46472,-4.90377,-0.66763,-16.6033,-8.85459,-16.2164,-9.53277,-4.85124,-0.668734,2.27711
L,-16.4491,-9.4589,-4.92798,-0.478109,-16.4229,-9.37029,-16.4594,-9.5633,-4.8616,-0.55198,0.515459
R,-16.6652,-9.45999,-4.86984,-0.320974,-16.011,-9.33486,-16.7027,-9.58797,-4.8693,-0.434301,5.12732
L,-16.9497,-9.44443,-4.93517,-0.123493,-17.1132,-9.43043,-16.9464,-9.60673,-4.87427,-0.315773,1.51363
R,-17.2025,-9.50327,-4.97479,-0.146733,-16.9255,-10.8571,-17.1903,-9.61954,-4.87646,-0.196479,7.8809
L,-17.4632,-9.52123,-4.99456,-0.0602727,-17.5448,-9.57485,-17.4342,-9.62636,-4.87583,-0.0765024,0.500408
R,-17.7205,-9.51089,-4.98158,0.0945944,-18.1371,-9.39146,-17.6781,-9.62717,-4.87232,0.0440703,1.68796
L,-17.9754,-9.47838,-4.98599,0.265772,-17.9724,-9.42299,-17.9216,-9.62194,-4.86588,0.165151,0.196992
R,-18.2183,-9.44175,-4.9391,0.446314,-18.3083,-9.18778,-18.1648,-9.61064,-4.85648,0.286648,0.69283
L,-18.4182,-9.48837,-4.86531,0.390691,-18.2763,-9.60997,-18.4074,-9.59325,-4.84408,0.40847,2.23506
R,-18.6544,-9.47621,-4.87293,0.457218,-18.2443,-9.58547,-18.6493,-9.56977,-4.82864,0.530522,1.71364
L,-18.9032,-9.46677,-4.87084,0.529878,-18.9545,-9.51544,-18.8904,-9.54017,-4.81012,0.652707,0.270402
R,-19.1332,-9.42923,-4.85913,0.634424,-18.6983,-9.02886,-19.1305,-9.50447,-4.78851,0.774927,3.94387
L,-19.3804,-9.3086,-4.84217,0.927455,-19.2983,-9.09865,-19.3694,-9.46265,-4.76378,0.897083,3.04504
R,-19.613,-9.23388,-4.77002,1.11484,-19.7037,-8.79906,-19.6069,-9.41472,-4.73591,1.01907,1.13749
L,-19.8666,-9.1091,-4.74793,1.38214,-19.8731,-8.96417,-19.8431,-9.36071,-4.70487,1.1408,1.36521
R,-20.1046,-9.00731,-4.70755,1.56954,-20.3815,-7.6755,-20.0775,-9.30061,-4.67066,1.26215,4.96074
L,-20.273,-9.13965,-4.61227,1.21853,-20.1607,-9.59663,-20.3102,-9.23446,-4.63328,1.38303,14.5154
R,-20.5117,-9.09849,-4.61671,1.2642,-20.4587,-9.7448,-20.5409,-9.16227,-4.59271,1.50334,1.57005
L,-20.7339,-9.00118,-4.57426,1.4261,-20.6596,-8.91527,-20.7696,-9.08409,-4.54895,1.62296,0.719346
R,-20.9761,-8.92069,-4.55146,1.54947,-21.5568,-8.5005,-20.9959,-8.99994,-4.50202,1.74179,2.48092
L,-21.1716,-8.85265,-4.47416,1.61735,-21.0195,-8.85081,-21.2198,-8.90987,-4.45191,1.85972,1.23521
R,-21.4046,-8.76585,-4.43494,1.73476,-21.8628,-8.64129,-21.4412,-8.81393,-4.39865,1.97666,1.9376
L,-21.5959,-8.74163,-4.36496,1.69195,-21.5029,-8.87191,-21.6597,-8.71217,-4.34224,2.0925,1.63649
R,-21.7857,-8.60316,-4.20313,1.92224,-21.9514,-7.41274,-21.8754,-8.60465,-4.2827,2.20712,6.50808
L,-21.989,-8.52527,-4.15304,1.97928,-21.9793,-8.57089,-22.0881,-8.49143,-4.22007,2.32043,0.141066
R,-22.1984,-8.41903,-4.13796,2.07227,-22.1914,-7.70392,-22.2975,-8.37258,-4.15437,2.43232,2.00753
L,-22.4313,-8.31776,-4.12979,2.16276,-22.5838,-8.35296,-22.5035,-8.24817,-4.08564,2.5427,1.28261
R,-22.6216,-8.20395,-4.03688,2.27059,-22.3177,-8.57758,-22.7061,-8.11829,-4.01391,2.65145,0.884326
L,-22.8638,-7.95695,-3.99688,2.64331,-22.9861,-7.6724,-22.9049,-7.98301,-3.93923,2.75848,6.14959
R,-23.0539,-7.80851,-3.84321,2.80758,-23.2693,-8.32031,-23.1,-7.84243,-3.86163,2.8637,3.60725
L,-23.2844,-7.62795,-3.80441,3.00047,-23.4777,-7.56583,-23.2911,-7.69663,-3.78118,2.967,2.285
R,-23.4846,-7.48738,-3.7943,3.05783,-23.473,-7.02103,-23.4781,-7.54572,-3.69792,3.06828,1.68873
L,-23.6503,-7.34435,-3.68416,3.12951,-23.5408,-7.36069,-23.6609,-7.3898,-3.61191,3.16746,0.659602
R,-23.8417,-7.18339,-3.63097,3.22424,-24.0505,-6.56968,-23.8393,-7.22897,-3.52321,3.26445,0.903227
L,-24.0013,-7.09308,-3.5436,3.17138,-23.9384,-7.26171,-24.0132,-7.06336,-3.43189,3.35916,2.04351
R,-24.1692,-6.91104,-3.42314,3.3087,-24.3577,-5.94086,-24.1825,-6.89307,-3.33801,3.45149,1.99064
L,-24.3327,-6.65511,-3.29006,3.56706,-24.2574,-6.4352,-24.347,-6.71823,-3.24166,3.54138,3.28197
R,-24.4999,-6.47854,-3.16593,3.66448,-24.788,-7.18367,-24.5066,-6.53896,-3.14289,3.62873,3.50318
L,-24.5964,-6.34278,-2.99263,3.64894,-24.3008,-6.43799,-24.6612,-6.35538,-3.0418,3.71347,5.27193
R,-24.737,-6.1545,-2.87631,3.73865,-24.6108,-6.00878,-24.8107,-6.16764,-2.93846,3.79553,0.309437
L,-24.9209,-5.94704,-2.82642,3.86113,-25.146,-5.91902,-24.955,-5.97587,-2.83295,3.87484,2.74026
R,-25.0518,-5.74208,-2.70978,3.95352,-24.8975,-5.02285,-25.094,-5.7802,-2.72537,3.95132,1.85768
L,-25.1841,-5.5713,-2.60885,3.97597,-25.1941,-5.64372,-25.2276,-5.58079,-2.61581,4.02492,0.329885
R,-25.3373,-5.38542,-2.5897,4.00826,-25.5328,-5.4399,-25.3556,-5.37777,-2.50435,4.09557,1.32048
L,-25.4821,-5.15876,-2.50364,4.12133,-25.5713,-5.10241,-25.4779,-5.1713,-2.39109,4.16322,0.628123
R,-25.6132,-4.98214,-2.47764,4.1118,-25.0178,-6.55904,-25.5946,-4.96152,-2.27613,4.22781,6.38658
L,-25.7266,-4.81108,-2.3777,4.10482,-25.6952,-4.89995,-25.7055,-4.7486,-2.15956,4.2893,0.547634
R,-25.8476,-4.60516,-2.30592,4.15439,-25.8162,-4.40681,-25.8105,-4.53268,-2.04149,4.34764,0.229982
L,-25.9605,-4.35959,-2.19663,4.27204,-25.9516,-4.26659,-25.9096,-4.31392,-1.92202,4.40279,0.539275
R,-26.0699,-4.13851,-2.00863,4.35599,-26.8953,-4.43966,-26.0027,-4.0925,-1.80125,4.45471,11.0795
L,-26.1622,-3.8515,-1.85767,4.5257,-26.1198,-3.67723,-26.0897,-3.86856,-1.67928,4.50337,1.96636
R,-26.2364,-3.61351,-1.62468,4.6083,-26.5652,-3.85723,-26.1706,-3.64227,-1.55623,4.54875,3.54923
L,-26.2654,-3.34654,-1.39148,4.70494,-25.9974,-3.24722,-26.2453,-3.41381,-1.4322,4.59081,4.36802
R,-26.3151,-3.10117,-1.17672,4.76512,-26.2976,-3.01078,-26.3138,-3.18332,-1.30729,4.62954,0.523246
L,-26.3392,-2.86787,-0.97611,4.7826,-26.1741,-2.87885,-26.376,-2.95098,-1.18162,4.66493,1.4451
R,-26.397,-2.64148,-0.865576,4.78963,-26.4681,-3.44967,-26.4319,-2.71697,-1.05529,4.69696,1.41809
L,-26.4722,-2.4928,-0.809516,4.6713,-26.674,-2.73852,-26.4815,-2.48143,-0.928411,4.72562,5.81257
R,-26.5273,-2.25791,-0.731269,4.69424,-26.657,-1.72382,-26.5247,-2.24456,-0.80109,4.75091,0.998324
L,-26.5769,-2.06354,-0.634293,4.64946,-26.6691,-2.17333,-26.5616,-2.0065,-0.673434,4.77284,1.17989
R,-26.6078,-1.82789,-0.54253,4.66643,-26.3248,-1.32261,-26.5921,-1.76744,-0.545553,4.79141,2.00671
L,-26.6059,-1.57784,-0.365892,4.70125,-26.4671,-1.53207,-26.6161,-1.52753,-0.417552,4.80664,1.14196
R,-26.6031,-1.34885,-0.168547,4.69836,-26.4998,-2.19526,-26.6338,-1.28695,-0.289538,4.81852,1.67087
L,-26.6067,-1.12185,-0.030292,4.68796,-26.5998,-1.14277,-26.6451,-1.04586,-0.161616,4.8271,0.0293406
R,-26.6358,-0.898365,0.0409544,4.67628,-27.2008,-1.67679,-26.65,-0.804425,-0.0338883,4.83238,5.14313
L,-26.647,-0.645737,0.15202,4.7088,-26.7355,-0.59539,-26.6485,-0.562811,0.0935412,4.83439,0.568011
R,-26.6345,-0.403824,0.331019,4.71515,-26.9891,0.0351487,-26.6406,-0.321181,0.220572,4.83317,2.26408
L,-26.5894,-0.106169,0.530618,4.79798,-26.4553,0.0602653,-26.6264,-0.0796947,0.347104,4.82874,2.64076
R,-26.57,0.133508,0.671033,4.78429,-26.9537,0.136943,-26.6059,0.161489,0.473041,4.82116,2.7544
L,-26.5464,0.427867,0.806579,4.85785,-26.6201,0.57588,-26.5792,0.402213,0.598287,4.81045,1.62701
R,-26.5341,0.666189,0.847813,4.83588,-26.8241,0.381506,-26.5462,0.642323,0.722748,4.79667,1.80013
L,-26.5262,0.948816,0.925521,4.89026,-26.7293,1.06082,-26.5069,0.881666,0.846334,4.77986,2.93919
R,-26.4883,1.20942,0.963505,4.89793,-25.9562,2.60409,-26.4616,1.12009,0.968955,4.76007,7.13237
L,-26.4311,1.44508,1.09407,4.8567,-26.3986,1.42212,-26.4101,1.35745,1.09053,4.73737,0.0876553
R,-26.3925,1.66309,1.14271,4.7954,-26.5072,-0.563928,-26.3526,1.59361,1.21096,4.71181,8.44333
L,-26.3374,1.87208,1.2439,4.71831,-26.3594,1.79315,-26.2891,1.82841,1.33018,4.68345,0.408358
R,-26.2695,2.10339,1.37421,4.67903,-26.3475,1.82827,-26.2197,2.06173,1.44811,4.65235,0.225909
L,-26.2073,2.29452,1.46496,4.57719,-26.2502,2.18481,-26.1444,2.29342,1.56467,4.61859,0.838313
R,-26.1447,2.52132,1.51131,4.54621,-26.069,2.27896,-26.0633,2.52336,1.67979,4.58223,0.822831
L,-26.0658,2.76391,1.61928,4.53729,-26.0641,2.80701,-25.9765,2.75141,1.79339,4.54334,0.113924
R,-25.9711,2.98704,1.80654,4.4819,-26.3234,3.02388,-25.8841,2.97746,1.90543,4.502,2.84834
L,-25.869,3.26786,1.9422,4.53025,-25.8345,3.42005,-25.7861,3.20139,2.01582,4.45828,1.48868
R,-25.786,3.49803,2.02946,4.49455,-26.1824,3.73376,-25.6826,3.42306,2.12452,4.41227,2.14249
L,-25.6805,3.69792,2.13747,4.40331,-25.6666,3.63509,-25.5737,3.64239,2.23146,4.36404,0.250503
R,-25.564,3.90558,2.26592,4.3259,-25.5773,3.13316,-25.4596,3.85924,2.3366,4.31367,1.13557
L,-25.4976,4.08325,2.28766,4.22097,-25.7492,3.99968,-25.3402,4.07353,2.43989,4.26125,3.81641
R,-25.3746,4.28481,2.40569,4.14638,-25.3516,3.75691,-25.2157,4.28514,2.54127,4.20686,0.603327
L,-25.2147,4.50425,2.57052,4.09558,-25.0214,4.52803,-25.0863,4.49399,2.64071,4.15058,2.01934
R,-25.0644,4.70012,2.66217,4.01887,-24.2719,4.30917,-24.9518,4.69998,2.73817,4.09251,8.93962
L,-24.9463,4.89363,2.73218,3.94819,-25.0363,4.88499,-24.8126,4.90303,2.83361,4.03273,0.434901
R,-24.7904,5.0844,2.84997,3.86641,-24.3609,4.95947,-24.6686,5.10304,2.92701,3.97132,2.30556
L,-24.6218,5.29964,2.98612,3.82783,-24.5041,5.35293,-24.5201,5.29995,3.01833,3.90839,0.922592
R,-24.4499,5.47857,3.15787,3.71164,-24.4379,5.24592,-24.367,5.49367,3.10754,3.84401,0.935226
L,-24.263,5.65139,3.29534,3.59655,-24.1159,5.61152,-24.2095,5.68414,3.19464,3.77827,1.22603
R,-24.0974,5.81287,3.41502,3.4687,-24.5638,4.75836,-24.0477,5.8713,3.27959,3.71127,3.21584
L,-23.9239,5.9729,3.50943,3.35178,-23.9153,5.94377,-23.8818,6.05508,3.36239,3.64309,0.0553855
R,-23.7804,6.1568,3.44529,3.33296,-23.5491,6.44495,-23.7117,6.23542,3.44302,3.57383,4.69919
L,-23.6135,6.3119,3.51431,3.23222,-23.6471,6.29102,-23.5377,6.41227,3.52148,3.50357,0.0889718
R,-23.465,6.4841,3.50585,3.19311,-23.7544,6.53746,-23.3598,6.58559,3.59775,3.4324,1.82545
L,-23.2385,6.71023,3.66029,3.22381,-23.0099,6.86182,-23.1781,6.75533,3.67185,3.36041,4.31029
R,-23.0437,6.85129,3.72346,3.11175,-22.7862,5.74143,-22.9928,6.92146,3.74376,3.28768,5.55497
L,-22.8294,7.02528,3.83484,3.05772,-22.6991,7.063,-22.804,7.08393,3.8135,3.21431,1.00653
R,-22.6175,7.16081,3.94941,2.92648,-22.418,6.76159,-22.6117,7.24273,3.88106,3.14038,1.5066
L,-22.4327,7.30521,3.99525,2.83924,-22.5083,7.31524,-22.4161,7.39782,3.94647,3.06598,0.306041
R,-22.203,7.43372,4.17393,2.68062,-22.0543,7.85452,-22.2173,7.54917,4.00974,2.99118,2.50648
L,-22.0215,7.5957,4.20262,2.64378,-22.1947,7.69478,-22.0154,7.69679,4.07087,2.91607,2.12482
R,-21.8374,7.76603,4.16583,2.65834,-21.6178,9.0351,-21.8105,7.84064,4.12989,2.84074,5.8083
L,-21.6297,7.9084,4.22196,2.58965,-21.6473,7.94,-21.6026,7.98072,4.18681,2.76526,0.0759862
R,-21.4395,8.04239,4.22236,2.52812,-21.8637,7.78661,-21.392,8.11703,4.24166,2.68971,1.6735
L,-21.2158,8.07618,4.27803,2.25845,-21.0853,7.83229,-21.1787,8.24957,4.29447,2.61417,4.44823
