SensorType,Px_pred,Py_pred,Vx_pred,Vy_pred,Px_meas,Py_meas,Px_gt,Py_gt,Vx_gt,Vy_gt,NIS
L,14.1604,2.85245,4.49259,2.39118,14.2106,2.94205,14.1439,2.88179,4.43656,2.38601,0.637607
R,14.4106,2.96303,4.55647,2.43772,14.5568,2.87021,14.3646,3.00303,4.38974,2.46099,1.4916
L,14.6173,3.03526,4.51648,2.38871,14.4616,2.90734,14.583,3.12802,4.34097,2.5362,2.23296
R,14.8487,3.18954,4.51869,2.52837,14.6754,3.96041,14.7989,3.25679,4.29021,2.61157,3.76561
L,15.0567,3.3821,4.42412,2.73872,15.0261,3.5067,15.0122,3.38932,4.23744,2.68703,1.11284
R,15.2674,3.54928,4.31631,2.86866,15.3685,4.14761,15.2228,3.52563,4.18263,2.76249,2.5599
L,15.4815,3.73655,4.24194,3.03359,15.5236,3.82936,15.4306,3.66572,4.12575,2.83789,0.635285
R,15.6927,3.87166,4.19703,3.06703,15.7234,3.4105,15.6355,3.80957,4.06678,2.91315,0.992754
L,15.9148,4.01413,4.17269,3.10927,15.9774,4.00094,15.8375,3.95719,4.00571,2.98817,0.228384
R,16.1098,4.17753,4.04138,3.18727,16.3376,4.21632,16.0363,4.10854,3.94251,3.0629,1.77091
L,16.3075,4.37174,3.96021,3.32994,16.3313,4.44499,16.2319,4.26363,3.87716,3.13723,0.369043
R,16.5175,4.53647,3.93154,3.39434,16.7586,4.48231,16.4242,4.42242,3.80966,3.21109,0.645695
L,16.6959,4.70324,3.84631,3.45804,16.6039,4.67344,16.613,4.5849,3.74,3.28438,0.488266
R,16.8483,4.89476,3.60669,3.5524,16.9236,5.10119,16.7983,4.75103,3.66817,3.35704,4.43396
L,17.0127,5.1192,3.48105,3.71958,16.9955,5.21099,16.9799,4.92077,3.59416,3.42897,0.582376
R,17.1824,5.28899,3.3876,3.75563,17.3421,4.64623,17.1579,5.09409,3.51797,3.50008,1.70309
L,17.3417,5.46889,3.29871,3.81028,17.2894,5.43542,17.3319,5.27094,3.4396,3.57028,0.203288
R,17.4977,5.63728,3.19088,3.82976,17.6463,4.74597,17.5019,5.45128,3.35907,3.63949,3.17714
L,17.6908,5.75933,3.20643,3.7531,17.7853,5.62476,17.6679,5.63506,3.27637,3.70762,1.77775
R,17.8343,5.95437,3.05833,3.82025,17.9216,6.07151,17.8297,5.82221,3.19151,3.77458,0.999961
L,18.0084,6.14452,3.01776,3.87522,18.1263,6.16985,17.9872,6.01269,3.10453,3.84027,0.766648
R,18.1583,6.35135,2.93499,3.95917,18.1245,6.79027,18.1402,6.20641,3.01542,3.90462,0.711669
L,18.2798,6.58937,2.79059,4.09685,18.2164,6.66138,18.2888,6.40332,2.92421,3.96753,0.597217
R,18.4117,6.8024,2.67392,4.16767,18.4022,7.02231,18.4328,6.60333,2.83093,4.0289,0.250901
L,18.5598,6.93809,2.65414,4.08366,18.5422,6.76013,18.572,6.80638,2.7356,4.08867,1.99304
R,18.7095,7.14419,2.63714,4.14344,18.8089,7.24388,18.7064,7.01237,2.63825,4.14672,0.689362
L,18.9067,7.28216,2.70764,4.0468,19.1441,7.18344,18.8359,7.22122,2.53893,4.20299,3.96044
R,18.9953,7.48342,2.501,4.08152,18.5479,7.4012,18.9604,7.43283,2.43767,4.25737,3.97047
L,19.086,7.74797,2.33411,4.24369,19.0138,7.8688,19.0798,7.64712,2.3345,4.3098,1.30334
R,19.2074,7.95421,2.27324,4.27991,19.3089,7.67375,19.1939,7.86397,2.22949,4.36017,0.281691
L,19.2865,8.17084,2.12918,4.33263,19.132,8.12845,19.3028,8.08329,2.12266,4.40842,1.35752
R,19.3861,8.3809,2.06271,4.37067,19.0239,8.17194,19.4062,8.30497,2.01409,4.45445,2.25124
